I_D,TSEVENT_ID,YEAR,LATITUDE,LONGITUDE
28113,983,1868,-43.68,172.98
28114,983,1868,-43.535,172.73
28115,983,1868,-43.85,172.41
1068,983,1868,-41.25,175.25
996,983,1868,-27.583,-144.333
6701,982,1868,10.717,-63.1
1002,983,1868,33.707,-118.273
27543,982,1868,,
15712,983,1868,-16.45,-71.59
15713,983,1868,-13.08333,-76.4
16409,983,1868,-36.63735,-73.0599
16410,983,1868,-36.717,-73.133
16411,983,1868,-37.08,-73.17
16412,983,1868,-37.25,-73.317
16413,983,1868,-37.617,-73.65
16414,983,1868,-41.867,-73.8278
16415,983,1868,-26.38,-70.67
27643,983,1868,33.707,-118.273
997,983,1868,-27.3,153
998,983,1868,-33.85,151.233
1003,983,1868,33.78,-118.25
1004,983,1868,-43.8,-176
1005,983,1868,-43.95,-176.283
1007,983,1868,-27.067,-70.833
1009,983,1868,-28.083,-71.146
1096,988,1868,11.667,92.75
16197,989,1868,-36.683,-73.1
10687,991,1868,-36.67,-73.17
1098,990,1868,19.41,-155.08
10804,992,1868,-33.033,-71.633
28674,5508,1868,-40.6,172.69
28672,5508,1868,-37.14,175.53
28673,5508,1868,-39,174.21
28676,5508,1868,-41.75,171.58
28675,5508,1868,-41.2639,173.279
1100,993,1868,37.71,-122.27
1099,993,1868,37.77,-122.23
1101,993,1868,36.97,-122.02
1102,993,1868,38.57,-121.48
10805,995,1869,-36.617,-72.95
19003,996,1869,-39.867,-73.431
1103,997,1869,37.81,-122.47
1104,998,1869,,
28678,5509,1869,-41.91,171.43
28679,5509,1869,-42.719,170.961
28677,5509,1869,-41.75,171.58
28116,999,1869,-12.05,-77.15
1105,1000,1869,37.81,-122.47
19004,3040,1869,-19.6,-70.2167
1112,1003,1869,19.34,-155
1111,1003,1869,19.44,-154.87
1109,1003,1869,19.42,-154.9
1110,1003,1869,20.63,-156.12
1108,1003,1869,19.35,-154.97
1114,1003,1869,19.139,-155.507
1107,1003,1869,19.41,-155.08
1106,1003,1869,19.52,-154.8
1116,1004,1869,-29.95,-71.3353
25390,1006,1869,12.47,123.5
19005,5408,1869,-20.217,-70.156
10760,1010,1869,-18.48,-70.33
10759,1010,1869,-20.217,-70.156
10758,1010,1869,-19.6,-70.2167
1122,1012,1869,40.483,19.483
28680,5510,1870,-41.29,174.78
1123,2330,1870,15.667,-96.483
16116,1013,1870,31.2,29.919
25865,3455,1870,43.0619,16.1831
25879,3420,1870,38.472,23.6
28117,1016,1871,-13.65,-76.4
19013,5411,1871,17.9833,-94.5167
9784,1019,1871,21.3,-157.867
1127,1022,1871,2.34,125.38
1128,1022,1871,2.34,125.39
10978,1022,1871,2.318,125.42
10977,1022,1871,2.3208,125.4135
10979,1022,1871,2.38,125.39
16198,1023,1871,-33.033,-71.633
28118,1023,1871,-33.44367,-70.82392
25391,1020,1871,9.1256,124.6756
6967,2357,1871,40.5,-73.9
28119,1024,1871,-33.033,-71.633
28120,1024,1871,-33.45,-70.666667
16201,1025,1871,-12.05,-77.15
16200,1025,1871,-13.033,-76.483
25311,1027,1871,0.53,123.06
25232,5414,1871,48.6667,-1.99
16199,1031,1871,-41.483,-72.967
28121,1034,1872,-16.4,-72
1130,1035,1872,21.59,-158.113
1131,1036,1872,20.78,-156.82
17201,1037,1872,16.1194,119.7992
28467,1038,1872,34.94,132.11
28468,1038,1872,,
1132,1038,1872,36.55,136.87
28466,1038,1872,34.75,131.87
28465,1038,1872,34.85,132.02
28464,1038,1872,35.056,132.313
28463,1038,1872,34.7,131.85
28462,1038,1872,34.87,132.05
28461,1038,1872,35.15,132.4
28460,1038,1872,35.194,132.439
28459,1038,1872,34.835,131.84
28458,1038,1872,34.89,132.07
1133,1039,1872,33.707,-118.273
7933,1040,1872,57.125,-170.275
1136,1040,1872,22.2125,-159.4982
1134,1040,1872,32.715,-117.174
1137,1040,1872,19.733,-155.067
1135,1040,1872,37.807,-122.465
1138,1040,1872,21.3067,-157.867
1139,1040,1872,21.927,-159.36
1140,1040,1872,46.208,-123.767
27873,1043,1872,32.715,-117.1625
1142,1043,1872,37.807,-122.465
6969,1044,1872,44.117,-68.867
6968,1044,1872,43.833,-69.7
